n,euclidien,plans coupants,B&C,B&C with heuristic,dual,dual with warm start
70,false,300.62200713157654,300.0148890018463,300.0270709991455,301.2996530532837,301.388680934906
75,true,301.1681880950928,300.01958203315735,300.01370000839233,300.11105489730835,300.07984590530396
75,false,300.273108959198,300.0176169872284,300.0111620426178,486.09690594673157,2337.6767649650574
80,true,301.8575451374054,300.0178129673004,300.0154318809509,302.14501690864563,300.07383394241333
80,false,300.6344828605652,300.0210840702057,300.01685309410095,385.6816899776459,391.02221393585205
85,true,300.65910601615906,300.01306796073914,300.03575897216797,651.3281228542328,610.483861207962
85,false,300.5682771205902,300.0359091758728,300.0180969238281,300.09456992149353,309.1828098297119
90,true,303.9075770378113,300.19495010375977,300.0158779621124,301.0209379196167,300.09243392944336
90,false,300.3475058078766,300.0296869277954,300.0167980194092,355.25843811035156,405.4230420589447
95,true,300.5060660839081,300.0333399772644,300.02554512023926,300.10451102256775,301.80521607398987
95,false,304.34675908088684,301.9813690185547,300.0772190093994,300.30317902565,300.19630789756775
100,true,301.08170914649963,300.02521991729736,300.03546118736267,300.17708110809326,300.1833288669586
100,false,305.2396938800812,302.6394989490509,300.0401289463043,347.70155811309814,334.1784129142761
